Order_ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Type_of_order,Type_of_vehicle,Weather_conditions,Road_traffic_density,Festival,City,Order_Date,Time_Orderd,Time_Order_picked,Distance_km,Time_taken_min,Day_of_week,Day_name,Month,Is_weekend,Order_hour,Pickup_hour,Time_period,Is_peak_hour,Preparation_time_min,Distance_category,Age_group,Rating_category,Delivery_person_ID_num,Experience_level
ORD000001,DEL082,26,4.0,13.00115666002401,77.67776926026511,12.984074561817456,77.52311618886095,Snack,scooter,Rainy,High,No,Semi-Urban,2024-04-14,16:52,17:18,17.270890389344135,90,6,Sunday,4,1,16,17,Afternoon,0,26.0,Far,Middle,Average,82,New
ORD000002,DEL015,39,4.8,13.030087652753318,77.60369234993597,12.95656140317299,77.56902392896407,Snack,scooter,Rainy,High,Yes,Urban,2024-05-26,16:43,17:11,9.023152237549793,90,6,Sunday,5,1,16,17,Afternoon,0,28.0,Moderate,Senior,Excellent,15,Experienced
ORD000003,DEL004,34,4.7,13.091254320161536,77.57934851168622,13.039988379051254,77.63702174943343,Meal,motorcycle,Rainy,Medium,No,Urban,2024-11-03,13:07,13:35,8.565287557552029,60,6,Sunday,11,1,13,13,Afternoon,1,28.0,Moderate,Middle,Excellent,4,Experienced
ORD000004,DEL095,30,4.6,13.05296747942055,77.61210299793768,12.901098389967911,77.55844084646988,Meal,motorcycle,Cloudy,Medium,No,Metropolitan,2024-03-17,13:51,14:02,17.87887403638091,90,6,Sunday,3,1,13,14,Afternoon,1,11.0,Far,Middle,Excellent,95,New
ORD000005,DEL036,27,4.7,12.981051356114422,77.5804140803235,12.921275188684469,77.5150794505507,Snack,scooter,Cloudy,High,No,Urban,2024-06-07,20:27,20:52,9.82948969066221,59,4,Friday,6,0,20,20,Evening,1,25.0,Moderate,Middle,Excellent,36,Intermediate
ORD000006,DEL032,40,3.9,13.049655074879452,77.54814299385664,13.08372976180959,77.64617354871014,Drinks,scooter,Rainy,Jam,No,Semi-Urban,2024-08-04,09:12,09:24,11.5200001057722,90,6,Sunday,8,1,9,9,Morning,0,12.0,Far,Senior,Average,32,Experienced
ORD000007,DEL029,26,4.8,13.089938836183842,77.56478396543334,12.986666665464227,77.5933530743308,Meal,scooter,Sunny,Low,Yes,Urban,2024-03-22,12:16,12:31,11.893760185422192,65,4,Friday,3,0,12,12,Afternoon,1,15.0,Far,Middle,Excellent,29,Experienced
ORD000008,DEL018,38,3.7,12.999876109130826,77.54655397124772,12.935236394934968,77.60383944139994,Drinks,motorcycle,Sunny,High,No,Urban,2024-05-22,13:41,14:09,9.587160502346125,57,2,Wednesday,5,0,13,14,Afternoon,1,28.0,Moderate,Senior,Average,18,Experienced
ORD000009,DEL095,42,4.0,12.982099386624578,77.55388752611897,13.058645287373809,77.56520501658706,Meal,bicycle,Sunny,Medium,No,Urban,2024-01-22,23:50,00:19,8.588962036732221,78,0,Monday,1,0,23,0,Night,0,1411.0,Moderate,Senior,Average,95,New
ORD000010,DEL014,30,4.4,12.915603739800147,77.51872154744714,13.070318520015288,77.6226088380526,Snack,motorcycle,Cloudy,Medium,No,Metropolitan,2024-01-11,12:20,12:42,20.68571661765539,90,3,Thursday,1,0,12,12,Afternoon,1,22.0,Far,Middle,Good,14,Experienced
ORD000011,DEL087,30,3.7,13.078474074130172,77.58529254414478,12.94224280270038,77.67815586703814,Drinks,bicycle,Cloudy,Medium,No,Metropolitan,2024-11-04,12:57,13:26,18.300717831371728,90,0,Monday,11,0,12,13,Afternoon,1,29.0,Far,Middle,Average,87,New
ORD000012,DEL095,43,4.6,12.94928685615873,77.54705678132065,13.042719998480957,77.6107516940569,Snack,motorcycle,Sunny,Medium,No,Metropolitan,2024-07-27,10:25,10:54,12.551736484800106,49,5,Saturday,7,1,10,10,Morning,0,29.0,Far,Senior,Excellent,95,New
ORD000013,DEL070,40,4.1,12.912791579363828,77.5896733104789,13.02302713823339,77.61750325120623,Meal,motorcycle,Sunny,High,No,Metropolitan,2024-03-12,20:47,21:00,12.620062510104695,86,1,Tuesday,3,0,20,21,Evening,1,13.0,Far,Senior,Good,70,New
ORD000014,DEL012,23,4.7,13.007440697318216,77.65843964683526,13.04901134226495,77.57471250303756,Meal,scooter,Rainy,Jam,No,Urban,2024-09-13,16:31,16:51,10.376186626712697,90,4,Friday,9,0,16,16,Afternoon,0,20.0,Far,Young,Excellent,12,Experienced
ORD000015,DEL076,27,4.2,13.069179929192304,77.58966247064863,13.057579683847983,77.51652615846943,Meal,bicycle,Fog,Low,No,Urban,2024-02-16,12:49,13:08,8.219612470968858,67,4,Friday,2,0,12,13,Afternoon,1,19.0,Moderate,Middle,Good,76,New
ORD000016,DEL055,43,3.8,12.98132701112461,77.69092237414195,13.032187171278652,77.58570828757648,Snack,motorcycle,Sunny,High,No,Metropolitan,2024-06-09,20:47,21:14,12.97169760521624,81,6,Sunday,6,1,20,21,Evening,1,27.0,Far,Senior,Average,55,Intermediate
ORD000017,DEL005,22,4.6,13.056613494031804,77.52956737890561,13.091243391692103,77.6849278614021,Meal,scooter,Cloudy,Medium,No,Urban,2024-07-18,15:59,16:14,17.668225805046756,90,3,Thursday,7,0,15,16,Afternoon,0,15.0,Far,Young,Excellent,5,Experienced
ORD000018,DEL004,41,3.9,13.0672792014568,77.67005299816758,13.072845271847664,77.63604301009028,Snack,bicycle,Sunny,Medium,No,Metropolitan,2024-08-04,12:11,12:36,3.825331899450792,33,6,Sunday,8,1,12,12,Afternoon,1,25.0,Close,Senior,Average,4,Experienced
ORD000019,DEL012,40,4.2,12.990880711763973,77.5496516228146,12.945794297567607,77.59804395704856,Meal,motorcycle,Rainy,High,No,Metropolitan,2024-04-19,22:26,22:36,7.341626562118171,71,4,Friday,4,0,22,22,Night,0,10.0,Moderate,Senior,Good,12,Experienced
ORD000020,DEL028,21,3.6,13.018191013188094,77.686786690171,13.08271315925446,77.62417665713596,Buffet,motorcycle,Sunny,High,No,Urban,2024-05-10,09:31,09:42,9.979587441460891,90,4,Friday,5,0,9,9,Morning,0,11.0,Moderate,Young,Average,28,Experienced
ORD000021,DEL030,43,4.4,13.006782459707788,77.54542958528972,12.971919460221292,77.61170736169949,Snack,motorcycle,Sunny,High,No,Metropolitan,2024-09-30,12:20,12:34,8.312538233408578,48,0,Monday,9,0,12,12,Afternoon,1,14.0,Moderate,Senior,Good,30,Experienced
ORD000022,DEL065,31,4.5,13.0878391723269,77.64939235719297,13.045308370273975,77.68248062473494,Drinks,scooter,Cloudy,High,No,Metropolitan,2024-10-06,21:15,21:43,5.981347623404194,29,6,Sunday,10,1,21,21,Night,1,28.0,Close,Middle,Good,65,Intermediate
ORD000023,DEL078,25,4.1,13.045101137018351,77.512423580172,13.069602063355283,77.5447695566176,Meal,scooter,Sunny,Medium,No,Urban,2024-05-22,12:23,12:40,4.504135431730879,32,2,Wednesday,5,0,12,12,Afternoon,1,17.0,Close,Young,Good,78,New
ORD000024,DEL004,21,4.9,13.085068562154024,77.62596268743204,12.987274085302866,77.67773726559341,Snack,motorcycle,Rainy,Medium,No,Semi-Urban,2024-08-31,17:01,17:17,12.282623557287714,69,5,Saturday,8,1,17,17,Evening,0,16.0,Far,Young,Excellent,4,Experienced
ORD000025,DEL072,40,4.8,12.944001995612394,77.5437348435832,12.910301709292478,77.6376941764725,Meal,bicycle,Rainy,Low,No,Urban,2024-11-26,09:53,10:06,11.080038423097,90,1,Tuesday,11,0,9,10,Morning,0,13.0,Far,Senior,Excellent,72,New
ORD000026,DEL026,20,4.6,12.962047370366534,77.63403450832965,13.089932286898328,77.52554928403072,Meal,motorcycle,Cloudy,Medium,No,Semi-Urban,2024-12-05,09:44,10:00,18.614801192915657,90,3,Thursday,12,0,9,10,Morning,0,16.0,Far,Young,Excellent,26,Experienced
ORD000027,DEL092,31,4.6,12.914182694636011,77.62716586752497,12.914496010564871,77.57438093708235,Meal,motorcycle,Cloudy,High,No,Urban,2024-12-09,20:24,20:38,5.859230494447748,36,0,Monday,12,0,20,20,Evening,1,14.0,Close,Middle,Excellent,92,New
