Order_ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Type_of_order,Type_of_vehicle,Weather_conditions,Road_traffic_density,Festival,City,Order_Date,Time_Orderd,Time_Order_picked,Distance_km,Time_taken_min
ORD008322,DEL019,26,4.7,12.90740923063947,77.51119790972292,13.025211440749525,77.6247802362894,Snack,electric_scooter,Cloudy,Medium,No,Metropolitan,2024-12-08,22:29,22:54,18.164126829639578,90
ORD008753,DEL016,41,4.1,12.936939610882275,77.62914840347175,12.959466133080534,77.51454444967636,Meal,motorcycle,Sunny,High,No,Urban,2024-12-05,12:43,13:06,12.964453323682427,87
ORD002586,DEL019,29,3.6,12.978160110692022,77.52409307390606,13.028577447136048,77.51655495445144,Meal,bicycle,Cloudy,High,No,Urban,2024-09-19,20:13,20:25,5.658530319633647,63
ORD006866,DEL056,26,3.8,12.944738428666414,77.51021125689128,13.036754687691388,77.63459957793069,Meal,bicycle,Rainy,High,No,Metropolitan,2024-03-19,21:30,21:44,17.174338948130725,90
ORD002645,DEL037,31,3.9,12.94502438741343,77.58966148764787,13.090306671964832,77.66444913212308,Meal,motorcycle,Sunny,Medium,No,Urban,2024-12-05,21:09,21:36,18.137594952255085,90
ORD008265,DEL073,20,3.7,13.096570649352412,77.56946623836627,13.056040510381893,77.6715216411381,Snack,motorcycle,Cloudy,Low,No,Metropolitan,2024-07-05,14:36,15:03,12.188789355962799,46
ORD004381,DEL073,30,3.8,13.035940304074236,77.6523226289333,13.046122368257736,77.5646591487164,Meal,motorcycle,Sunny,Medium,No,Urban,2024-04-17,14:46,14:59,9.796062992847666,59
ORD000152,DEL081,38,4.7,13.047597276455033,77.67424442884769,13.020917294942361,77.55001097108817,Meal,scooter,Sunny,Jam,No,Semi-Urban,2024-10-22,12:17,12:42,14.104328220769398,90
ORD007280,DEL042,21,4.4,13.067402252100603,77.50730977998788,12.98888380317213,77.69058256808229,Meal,scooter,Rainy,Jam,No,Semi-Urban,2024-07-01,21:07,21:24,22.13164688709464,90
ORD005803,DEL070,35,3.5,12.910690709560974,77.51749604000855,13.052530769661645,77.66493865375483,Drinks,motorcycle,Sunny,Medium,No,Semi-Urban,2024-11-24,17:25,17:51,22.709722995638156,90
ORD009632,DEL065,33,3.9,12.960872878933406,77.51459661172007,13.07948952747997,77.53656548617461,Meal,scooter,Fog,Jam,Yes,Urban,2024-04-28,17:15,17:27,13.390364247087843,90
ORD001081,DEL053,22,3.8,12.976057577900571,77.6295512599043,12.907600269555125,77.51505272696328,Meal,motorcycle,Sunny,Medium,No,Metropolitan,2024-11-01,12:06,12:27,14.807714986837762,85
ORD002754,DEL095,21,4.0,13.027775681121305,77.63741163063627,12.926685115442435,77.6737904760824,Snack,motorcycle,Stormy,Medium,No,Metropolitan,2024-03-28,20:46,20:57,11.925514178557062,89
ORD003145,DEL087,40,4.7,13.090361677613847,77.54801906958292,12.984610116062933,77.57809151822869,Snack,bicycle,Stormy,Low,No,Metropolitan,2024-08-08,20:01,20:28,12.203815197765415,88
ORD003289,DEL084,25,4.5,13.03336506876223,77.60317642366594,12.910373617907036,77.56514325922214,Drinks,motorcycle,Rainy,High,No,Urban,2024-02-28,12:27,12:38,14.289894693013812,90
ORD002231,DEL068,27,4.2,13.08264524562687,77.61719898645202,13.035718777416852,77.61399115229524,Drinks,motorcycle,Sunny,Medium,No,Urban,2024-02-19,13:41,13:51,5.220994020807038,27
ORD005510,DEL096,25,3.7,13.088963414310001,77.61925342690768,13.079342916610605,77.6606946957576,Buffet,scooter,Cloudy,Low,Yes,Semi-Urban,2024-03-31,19:43,19:53,4.722306776143197,39
ORD008067,DEL036,29,4.3,13.05800180320569,77.54979556086987,13.018896019269237,77.60652849058313,Meal,scooter,Fog,Medium,No,Urban,2024-05-16,18:47,19:15,7.6484458388373975,59
ORD008797,DEL026,29,4.9,13.015803371380676,77.55230732839115,13.011414928024571,77.52340735847532,Snack,motorcycle,Sunny,Jam,No,Urban,2024-08-13,08:47,09:17,3.244670116389879,19
ORD007276,DEL028,22,4.8,13.046761742788448,77.60567413986617,13.051947601067937,77.56932948231865,Snack,motorcycle,Cloudy,Medium,No,Semi-Urban,2024-02-06,16:26,16:45,4.075117133288558,21
ORD001161,DEL082,21,4.1,12.915693722348811,77.68601471963488,12.991803450549625,77.69463697082874,Snack,motorcycle,Stormy,Low,No,Urban,2024-08-01,12:01,12:27,8.502218840099795,48
ORD005115,DEL088,38,4.9,13.023410598635477,77.61754829758905,13.088364874903235,77.65036386966335,Snack,bicycle,Rainy,High,No,Semi-Urban,2024-04-22,19:01,19:19,8.07781081484863,82
ORD003419,DEL041,44,4.4,13.060215184049898,77.63320416569451,13.063510956229404,77.54900310308233,Meal,scooter,Sunny,Medium,No,Urban,2024-04-29,20:35,21:05,9.353474826575594,55
ORD003698,DEL040,25,3.9,12.923684138803655,77.6296650434719,13.077221536967958,77.69070914016496,Meal,bicycle,Cloudy,High,No,Urban,2024-03-04,14:48,15:08,18.340248341512556,90
ORD007638,DEL023,39,4.0,13.06356989072067,77.52136864154672,12.992437713034093,77.676464137143,Buffet,bicycle,Fog,Jam,No,Urban,2024-05-12,20:22,20:42,18.939865778455314,90
ORD003243,DEL071,30,4.9,12.907953274045923,77.52265052162564,12.952477489692694,77.60182637335858,Snack,motorcycle,Cloudy,Medium,No,Semi-Urban,2024-05-29,21:44,22:14,10.082821894140036,44
ORD008295,DEL081,44,4.7,13.047637915307698,77.55640914016686,13.043378986949314,77.64255993974878,Meal,bicycle,Cloudy,Medium,No,Urban,2024-02-18,21:15,21:29,9.57441677428544,81
ORD002549,DEL062,27,4.5,13.053234517859437,77.62481792556606,13.094550341945428,77.5594542930512,Meal,motorcycle,Sunny,Medium,No,Metropolitan,2024-09-27,14:27,14:56,8.583251672601909,41
ORD001238,DEL091,20,4.8,13.044564060222939,77.55152869737171,12.954293772619689,77.65772376016109,Meal,bicycle,Sunny,Low,Yes,Urban,2024-09-26,18:44,18:55,15.470913919775288,90
ORD002503,DEL033,21,5.0,12.92115435870432,77.65696226697285,13.043067606354896,77.50528771382133,Snack,scooter,Sunny,Medium,No,Metropolitan,2024-05-04,13:21,13:45,21.600272024573705,90
ORD006832,DEL057,28,4.2,12.916170406607923,77.56570973688964,12.948482318798606,77.64912968931137,Meal,motorcycle,Cloudy,High,No,Semi-Urban,2024-10-25,13:26,13:37,9.929970993297298,66
ORD007354,DEL065,37,3.5,12.91791092734876,77.568445008478,12.977039481762706,77.56796982709199,Snack,scooter,Rainy,Jam,No,Urban,2024-09-15,23:28,23:49,6.563481477322288,81
ORD001828,DEL040,43,4.5,12.937519550354276,77.50233732070733,12.927911502471174,77.69100410508428,Snack,motorcycle,Sunny,Medium,No,Semi-Urban,2024-02-26,21:18,21:42,20.969151609945015,90
ORD000830,DEL015,34,4.5,12.980055401482897,77.63410316874213,12.983619779864842,77.65574971329983,Drinks,scooter,Sunny,High,No,Urban,2024-01-02,12:49,13:06,2.4351226562933754,15
ORD008952,DEL029,33,3.9,13.051368959225996,77.62875887326577,12.922602626277957,77.57106675389674,Meal,motorcycle,Sunny,Medium,Yes,Semi-Urban,2024-07-08,12:30,12:40,15.66207606070961,90
ORD001359,DEL046,24,3.9,13.022983448483211,77.54661982927844,12.952382791510514,77.58121899902062,Drinks,motorcycle,Sunny,Low,No,Metropolitan,2024-12-18,19:40,20:05,8.727138305137098,31
ORD003391,DEL082,39,4.1,13.011247545140058,77.68070000686055,12.931740060636898,77.51163722846304,Meal,motorcycle,Sunny,Medium,No,Urban,2024-08-10,12:58,13:09,20.737599510147163,90
ORD003779,DEL045,34,4.5,12.996251466371511,77.65695324225359,13.003089758399145,77.57110944784891,Drinks,scooter,Sunny,Medium,Yes,Urban,2024-01-01,20:29,20:47,9.558846237661939,58
ORD002031,DEL075,40,4.4,12.964785616313154,77.68762690780116,13.000850731122506,77.52346908515997,Meal,bicycle,Sunny,Low,Yes,Metropolitan,2024-11-17,20:04,20:24,18.656086460088222,90
ORD003659,DEL083,44,3.6,12.91401712848383,77.61433285599384,12.935055172179572,77.59594731486219,Meal,bicycle,Cloudy,Medium,No,Urban,2024-06-19,17:32,17:49,3.1013078305862307,31
ORD000012,DEL095,43,4.6,12.94928685615873,77.54705678132065,13.042719998480957,77.6107516940569,Snack,motorcycle,Sunny,Medium,No,Metropolitan,2024-07-27,10:25,10:54,12.551736484800106,49
ORD003724,DEL032,20,4.5,13.096768234333842,77.64923878151727,13.094189155174144,77.51413017460501,Meal,motorcycle,Rainy,Medium,Yes,Semi-Urban,2024-11-18,21:48,22:14,14.999787487156022,90
ORD001532,DEL069,34,5.0,13.043341981481031,77.63220292140655,12.980722098420367,77.55591018320504,Snack,bicycle,Sunny,High,No,Metropolitan,2024-01-28,17:50,18:15,10.955779654757945,78
ORD001174,DEL089,43,4.7,13.086320025268808,77.62591969954607,13.07960077806111,77.68734353930952,Buffet,scooter,Rainy,Low,No,Semi-Urban,2024-12-28,16:08,16:21,6.858718988852577,49
ORD003801,DEL066,38,5.0,13.05565687323569,77.63061935609458,13.011943601680988,77.53868376790301,Snack,bicycle,Cloudy,Low,No,Urban,2024-04-23,14:50,15:11,11.299670509877934,61
ORD000588,DEL093,42,4.1,13.018204797639065,77.65724679665416,13.03177638742198,77.65067967450001,Drinks,scooter,Rainy,Medium,No,Metropolitan,2024-03-10,23:05,23:19,1.673544105263235,15
ORD002174,DEL005,25,4.7,12.970932550352991,77.5806762943332,12.99458229272301,77.53030570579845,Snack,electric_scooter,Cloudy,Medium,No,Semi-Urban,2024-04-09,20:18,20:40,6.1767351108563675,36
ORD007398,DEL045,43,4.2,13.047035370032136,77.58332805714106,13.041449250791572,77.64920073454785,Meal,motorcycle,Sunny,High,Yes,Semi-Urban,2024-10-03,11:23,11:52,7.338111152842334,60
ORD007959,DEL096,44,3.8,13.011036119928729,77.5454079139607,12.953945610156373,77.6027706021149,Meal,bicycle,Fog,Medium,No,Urban,2024-09-12,10:16,10:32,8.983325595785237,90
ORD006499,DEL097,26,4.1,13.03403983326299,77.64996893870256,12.944460944135766,77.560830838609,Meal,motorcycle,Sunny,Low,No,Urban,2024-12-09,14:41,14:52,14.027334109157515,64
ORD002353,DEL010,35,3.5,13.041410345342818,77.67714382906651,12.982587657609665,77.51526294895834,Snack,motorcycle,Sunny,Jam,No,Semi-Urban,2024-12-21,21:38,21:56,19.11828888024957,90
ORD004448,DEL096,29,3.7,13.090200402481804,77.57094422737792,12.935191710726153,77.66100953117572,Meal,motorcycle,Cloudy,Jam,No,Urban,2024-02-29,17:52,18:09,19.899502661601485,90
ORD006757,DEL017,42,4.5,12.931041355835857,77.65241083590776,12.99152532049228,77.65379850604845,Meal,motorcycle,Sunny,High,No,Urban,2024-04-07,21:01,21:31,6.715486798306282,43
ORD001752,DEL079,43,3.5,13.092755827283261,77.50572815033306,13.077127375040718,77.5038851008355,Meal,scooter,Sunny,High,No,Metropolitan,2024-08-27,14:48,15:17,1.7467794276979849,15
ORD000653,DEL059,24,4.1,13.092358149525245,77.64627862943783,12.976158771212452,77.63900419106389,Meal,scooter,Rainy,Medium,Yes,Metropolitan,2024-05-07,20:57,21:15,12.923381099846216,90
ORD004252,DEL059,22,4.5,13.09504229259483,77.59212755432608,12.920397158514811,77.58125421517424,Meal,motorcycle,Sunny,Low,No,Metropolitan,2024-04-14,19:36,20:01,19.423145374884797,74
ORD007572,DEL019,20,4.5,12.90799102971471,77.50047572032271,13.090400316317467,77.5227425161036,Meal,motorcycle,Cloudy,Low,Yes,Metropolitan,2024-07-02,23:36,00:06,20.397728597272298,90
ORD008172,DEL099,31,3.6,13.012060684416243,77.61732581759412,12.914654849282957,77.67051659446278,Drinks,electric_scooter,Cloudy,Medium,Yes,Metropolitan,2024-05-19,12:47,13:08,12.319077580976773,90
ORD007397,DEL022,26,4.9,13.019408289366936,77.52472237159252,13.006636289427044,77.59520005727181,Meal,bicycle,Rainy,High,No,Urban,2024-10-07,10:02,10:26,7.950442828787776,90
ORD000405,DEL002,32,4.4,13.041822072591554,77.58354402441071,12.939900236800993,77.58649678923454,Meal,scooter,Sunny,Low,No,Urban,2024-12-15,14:45,15:15,11.318070479089357,52
ORD004204,DEL032,25,4.9,12.95138970231617,77.60398322942915,12.926914200900963,77.6421553612177,Snack,motorcycle,Cloudy,Medium,No,Metropolitan,2024-08-20,13:01,13:22,5.033286175080666,20
